text,label
"LIQUID FILLED FURNISHINGS: No liquid filled furniture, receptacle containing more than ten gallons of liquid is permitted without prior written consent and meeting the requirements of the OWNER.', 'RESIDENT also agrees to carry insurance deemed appropriate by OWNER to cover possible losses that may be caused by such items.",none
"NOISE: RESIDENT agrees not to cause or allow any noise or activity on the premises which might disturb the peace and quiet of another RESIDENT and/or neighbor.', 'Said noise and/or activity shall be a breach of this agreement.",none
"""DESTRUCTION OF PREMISES: If the premises become totally or partially destroyed during the term of this Agreement so that RESIDENT'S use is seriously impaired, OWNER or RESIDENT may terminate this Agreement immediately upon three day written notice to the other.""",none
"CONDITION OF PREMISES: RESIDENT acknowledges that he has examined the premises and that said premises, all furnishings, fixtures, furniture, plumbing, heating, electrical facilities, all items listed on the attached property condition checklist, if any, and/or all other items provided by OWNER are all clean, and in good satisfactory condition except as may be indicated elsewhere in this Agreement.', 'RESIDENT agrees to keep the premises and all items in good order and good condition and to immediately pay for costs to repair and/or replace any portion of the above damaged by RESIDENT, his guests and/or invitees, except as provided by law.', 'At the termination of this Agreement, all of above items in this provision shall be returned to OWNER in clean and good condition except for reasonable wear and tear and the premises shall be free of all personal property and trash not belonging to OWNER.', 'It is agreed that all dirt, holes, tears, bums, and stains of any size or amount in the carpets, drapes, walls, fixtures, and/or any other part of the premises, do not constitute reasonable wear and tear.",none
"ALTERATIONS: RESIDENT shall not paint, wallpaper, alter or redecorate, change or install locks, install antenna or other equipment, screws, fastening devices, large nails, or adhesive materials, place signs, displays, or other exhibits, on or in any portion of the premises without the written consent of the OWNER except as may be provided by law.",none
"11: PROPERTY MAINTENANCE: RESIDENT shall deposit all garbage and waste in a clean and sanitary manner into the proper receptacles and shall cooperate in keeping the garbage area neat and clean.', 'RESIDENT shall be responsible for disposing of items of such size and nature as are not normally acceptable by the garbage hauler.', 'RESIDENT shall be responsible for keeping the kitchen and bathroom drains free of things that may tend to cause clogging of the drains.', 'RESIDENT shall pay for the cleaning out of any plumbing fixture that may need to be cleared of stoppage and for the expense or damage caused by stopping of waste pipes or overflow from bathtubs, wash basins, or sinks.",none
"CHANGE OF TERMS: The terms and conditions of this agreement are subject to future change by OWNER after the expiration of the agreed lease period upon 30-day written notice setting forth such change and delivered to RESIDENT.', 'Any changes are subject to laws in existence at the time of the Notice of Change Of Terms.",none
"TERMINATION: After expiration of the leasing period, this agreement is automatically renewed from month to month, but may be terminated by either party giving to the other a 3 0-day written notice of intention to terminate.', 'Where laws require ""just cause"", such just cause shall be so stated on said notice.', ""The premises shall be considered vacated only after all areas including storage areas are clear of all RESIDENT'S belongings, and keys and other property furnished for RESIDENT'S use are returned to OWNER."", ""Should the RESIDENT hold over beyond the termination date or fail to vacate all possessions on or before the termination date, RESIDENT shall be liable for additional rent and damages which may include damages due to OWNER'S loss of prospective new renters.""",arg_notice
"POSSESSION: If OWNER is unable to deliver possession of the residence to RESIDENTS on the agreed date, because of the loss or destruction of the residence or because of the failure of the prior residents to vacate or for any other reason, the RESIDENT and/or OWNER may immediately cancel and terminate this agreement upon written notice to the other party at their last known address, whereupon neither party shall have liability to the other, and any sums paid under this Agreement shall be refunded in full.', 'If neither party cancels, this Agreement shall be prorated and begin on the date of actual possession.",none
"INSURANCE: RESIDENT acknowledges that OWNERS insurance does not cover personal property damage caused by fire, theft, rain, war, acts of God, acts of others, and/or any other causes, nor shall OWNER be held liable for such losses.', 'RESIDENT is hereby advised to obtain his own insurance policy to cover any personal losses.",none
"RIGHT OF ENTRY AND INSPECTION: OWNER may enter, inspect, and/or repair the premises at any time in case of emergency or suspected abandonment.', 'OWNER shall give 24 hours advance notice and may enter for the purpose of showing the premises during normal business hours to prospective renters, buyers, lenders, for smoke alarm inspections, and/or for normal inspections and repairs.', ""OWNER is permitted to make all alterations, repairs and maintenance that in OWNER'S judgment is necessary to perform.""",none
"ASSIGNMENT: RESIDENT agrees not to transfer, assign or sublet the premises or any part thereof.",none
"""PARTIAL INVALIDITY: Nothing contained in this Agreement shall be construed as waiving any of the OWNER'S or RESIDENT'S rights under the law."", 'If any part of this Agreement shall be in conflict with the law, that part shall be void to the extent that it is in conflict, but shall not invalidate this Agreement nor shall it affect the validity or enforceability of any other provision of this Agreement.",none
"""NO WAIVER: OWNER'S acceptance of rent with knowledge of any default by RESIDENT or waiver by OWNER of any breach of any term of this Agreement shall not constitute a waiver of subsequent breaches."", 'Failure to require compliance or to exercise any right shall not be constituted as a waiver by OWNER of said term, condition, and/or right, and shall not affect the validity or enforceability of any provision of this Agreement.",none
"""ATTORNEY FEES: If any legal action or proceedings be brought by either party of this Agreement, the prevailing party shall be reimbursed for all reasonable attorney's fees and costs in addition to other damages awarded.""",none
JOINTLY AND SEVERALLY: The undersigned RESIDENTS are jointly and severally responsible and liable for all obligations under this agreement.,none
"REPORT TO CREDIT/TENANT AGENCIES: You are hereby notified that a nonpayment, late payment or breach of any of the terms of this rental agreement may be submitted/reported to a credit and/or tenant reporting agency, and may create a negative credit record on your credit report.",none
"""NOTICES: All notices to RESIDENT shall be served at RESIDENT'S premises and all notices to OWNER shall be served at NO."", '343, Jalan Baru Kg.', 'Benoni, 89607, Papar",none
"INVENTORY: The premises contains the following items, that the RESIDENT may use.",none
Water Pump,none
Water Heater,none
House Alarm,none
Water Tank,none
KEYS AND ADDDENDUMS: RESIDENT acknowledges receipt of the Keys (\t) and House,none
Alarm Remote (1) which shall be deemed part of this Agreement:,none
"ENTIRE AGREEMENT: This Agreement constitutes the entire Agreement between OWNER and RESIDENT.', 'No oral agreements have been entered into, and all modifications or notices shall be in writing to be valid.",none
RECEIPT OF AGREEMENT: The undersigned RESIDENTS have read and understand this Agreement and hereby acknowledge receipt of a copy of this Rental Agreement.,none
"MOHD KHAIRUN BIN ZAKARIA\tSUHAIMI AG.', 'AMAN",none
G21786\t790728 — 12 — 5105,none
WITNESS’S SIGNATURE,none
NOOR AZEENAH MICHAEL 810806-12-5182,none
© “Lesconcierges Help Desk” ©,none
For rental agreement request take only the details as,none
mentioned below.,none
Note: Request you to fill the details in capital letters and these all details are mandatory:,none
Request number(SRF) and Desk Name,none
Value of stamp paper(Rs.20 or 50 or 100 or 200),none
Commencing(starting) date of agreement\t: 01-04-2014,none
Monthly Rent amount (in words also)\t: EIGHT THOUSAND ONLY,none
Security Deposit or advance amount (in words also): FIFTY THOUSAND ONLY,arg_val
"6.', 'Owner NAME and Address: ...SHIVANAND,NO 17,6th MAIN,2nd CROSS,VINAYAKA",none
"LAYOUT,CHINNAPANNAHALLI,MARATHAHALLI,BANGALORE- 560037",none
"7.', 'Tenant NAME and Address: VIVEK CHANDRA MALLIK, 1st FLOOR,NO 17,6th MAIN,2nd CROSS,VINAYAKA LAYOUT,CHINNAPANNAHLLI.MARATHAHALLI,BANGALORE-560037",none
"Property address (Schedule) (address of which place you are going to stay/use for rent): 1st FLOOR,NO 17,6th MAIN,2nd",none
"CROSS,VINAYAKA,LAYOUT,CHINNAPANNAHLLI.MARATHAHALLI,BANGALORE-560037",none
"Along with Fittings and Fixtures: Fans:-\t2\tNo’s, Tube lights:-\t2 ...No’s, Bedrooms:-\t2...",none
"No’s, Geyser :...0.. No’s, Attached bathroom& toilet: Yes",none
"Cost: Total charges Rs.', '200/- (for stamp paper of Rs.20/-), 250/- (For stamp paper ofRs.50/-) and 300/-(for stamp paper of Rs.100/-)",none
TAT: 2working days,none
Note: Stamp paper value will be depends on security or advance amount.,none
"For eg: If the advance below 20.000/- then 20 rupees stamp paper is required.', 'If it is above 20,000 to below 50.000 then 50/- rupees stamp paper is required, if it above 50.000 the 100/- stamp paper is required.",arg_val
Signature of Customer/Applicant,none
Tenancy Agreement\nPerjanjian Kontrak Penyewa,none
Parties,none
"THE AGREEMENT IS MADE IN DUPLICATE BETWEEN NEOH GUATWAH the Landlord ( and the assistant CLEMENT NG.', 'CONTACT NO 0126030570), AND the Tenant(s) NOR AID A BINTI MOHD AZHARI OF IC NO 820416-015972",none
Premises,none
THE PARTIES AGREE THAT the Landlord will rent to the Tenant and the Tenant will rent from the Landlord the following residential premises:,none
"NO 4, JALAN CHENG PERDANA 1/3, TAMAN CHENG PERDANA, 75250 MELAKA",none
Contract Period :,none
"The tenancy is to begin on 1st JANUARY 2014 and is RENEWAL EVERY YEAR .', 'Minimum contract period is 1 Year .",arg_on
TERMS:,none
"The tenant agrees to pay in advance of TWO MONTHS months of RM750 per month by 25 DECEMBER 2013 This agreement shall commence on 1st JANUARY 2014 If the tenant should move from the premises prior to the expiration of this time period, he shall be liable for all rent due until such time that the tenant is occupied by an OWNER approved paying tenant and/or expiration of said time period, whichever is shorter.",arg_val
"For the TWO MONTHS deposit,",none
1 Month will be used for booking and paid for the month of JANUARY,arg_notice
2014 ( 1 bulan bayar untuk booking pada bulan Januari 2014),none
-\t1 Month will be used for the notice on the last month of stay (1 bulcin,none
untuk notis pada bulan terakhir) .,none
PAYMENTS:,arg_notice
Rent and/or other charges are to be paid Oil every first week of every,none
"month.', 'All payments are to be made by cheque or cash or credit to the banking account",none
Pembayaran sewa mesti dibuat pada minggu pertama setiap bulan.,none
UTILITIES:,none
"Tenant agrees to pay all utilities (Water, Electricity , Indah Water and Telephone Bills ).', 'A deposit of RM300 is required for Utilities and will be returned to tenant if all the utility bills are cleared.",none
RENTAL PROPERTY RULES OF CONDUCT,none
This addendum to the rental agreement executed between the parties contains additional rules and regulations intended to help secure the comfort and safety of residents and their neighbours.,none
ALTERATIONS:,none
"Tenant shall not make any alterations to the premises, including but not limited to installing aerials, lighting fixtures, washing machines, dryers or other items without first obtaining written permission from Landlord: provided, however, that notwithstanding such consent, all alterations including items affixed to the premises shall become the property of the Lessor upon termination of the lease.",none
"Any article attached to the woodwork, walls, floors or ceilings shall be the sole responsibility of Tenant.', 'Tenant shall be liable for any repairs necessary during or after residency to restore premises to the original condition.', 'Glue or tape shall not be used to affix pictures or decorations.",none
Penyewa tidak dibenarkan mengetuk atau memaku pada mana mana dinding rumah kecuali mendapat kebenaran daripada tuan rumah.,none
"""Tenant shall not change or install locks, paint, or wallpaper said premises without Landlord's prior written consent, Tenant shall not place placards, signs, or other exhibits in a window or any other place where they can be viewed by other residents or by the general public.""",none
ANIMALS:,none
"Birds, dogs, cats, reptiles or other animals will not be permitted in the premises at any time.",none
"Segala binatang kesayangan seperti kucing, anjing, burung dan arnab tidak dibenarkan dalam premis pada bila-bila masa.",none
ANTENNAS:,none
Any antenna or satellite dish placed on or attached on the roof or exterior walls of the building without consent of the property owner in writing is liable to removal without notice.,none
BALCONY:,none
"Balcony is not intended for storage.', 'Bicycles and furniture are the only items that may be placed or stored.', 'Other personal items, including, but not limited to boxes and general clutter, must be stored elsewhere or disposed of properly.",none
CLEANING AND DAMAGE DEPOSIT:,none
"Cleaning charge may be deducted if the rental property is not returned clean, including appliances and carpet.', 'Other necessary repair, painting or damage charges may be deducted from the deposit.",none
"Rumah sewa mesti dikembalikan dengan bersih dan sempurna seperti pada asal.', 'Segala pembayaran untuk pembaikan atau kerosakan akan ditolak daripada deposit",none
COMBUSTIBLE AND PROHIBITED SUBSTANCES:,none
"Any flammable, combustible or explosive fluid, material, chemical or substance is strictly prohibited.', 'No smoking is allowed in unit or in shared areas of property.",none
"All doors must be locked during the absence of Tenant.', 'All appliances, except refrigerators, must be turned off before leaving the unit.', 'The use of charcoal barbecues is prohibited .', 'Candles may not be burned in bedrooms.', 'Candles used in common areas must be attended at all times.",none
"Mana-mana bahan mudah terbakar atau bahan letupan cecair, bahan kimia adalah dilarang.",none
"Penggunaan arang adalah dilarang.', 'Lilin tidak boleh digunakan di dalam bilik tidur.', 'Lilin digunakan di kawasan yang lapang dan perlu dijagai pada setiap masa.",none
COURTESY:,none
"Profane, obscene, loud or boisterous language, or unseemly behavior and conduct are absolutely prohibited.', 'The tenant agrees to not permit to be done, anything that will annoy, harass, embarrass, or inconvenience any other tenants, neighbors or occupants in adjoining premises.",none
DISTURBANCES:,none
"At all times tenants shall not make or permit any disturbing noises in the building.', 'All musical instruments, television sets, stereos, radios, etc., are to be played at a volume which will not disturb other persons",none
Pada setiap masa penyewa tidak boleh membuat bunyi kuat yang boleh mengganggu orang lain atau jiran.,none
DRUG-FREE HOUSING:,none
"Drug-related criminal activity will not be tolerated on or near the property, whether on the part of the tenant, any member of the household, any guest or any other person.', 'Acts of violence or threats of violence, including but not limited to, brandishing weapons or the unlawful discharge of firearms, on or near the property will not be tolerated.', 'The parties agree that violation of any or all of these provisions shall be a material violation of the lease and will be cause for immediate termination of the lease.",none
"Aktiviti jenayah berkaitan dadah tidak dibanarkan sekali.', 'Tindakan keganasan atau ancaman keganasan tidak dibenarkan.",none
EXTERIOR:,none
"Nothing shall be placed or kept on the outer sill or on the outside of any window, and nothing shall be thrown out of any window, door or from any porch into any attached yard, sidewalk or alley.', 'No awnings or other projections shall be attached to the outside walls of the building, and no blinds, shades or screens shall be attached to or hung in, or used in connection with any window or door of the demised premises, without prior written consent of the property owner.', 'Garbage cans, supplies, or other articles shall not be placed in the halls or on the staircase landings, nor shall anything be hung from the windows or balconies or placed upon the windowsills.', 'No linens, clothing, curtains, rugs or mops shall be shaken or hung from any of the windows or doors.",none
GARBAGE:,none
"No garbage or other refuse shall be stored or allowed to accumulate on the premises for extended periods of time.', 'No garbage shall he thrown out of windows, doors or from any other part of the property.', 'All garbage and refuse shall be disposed of in a timely manner.', 'Garbage is to be placed inside the containers provided and lids should not be slammed.",none
"No littering of papers, cigarette butts or trash is allowed.",none
ILLEGAL ACTIVITY:,none
"If the landlord observes any activity of a suspicious nature on the part of the tenant, guests or family members of the tenant in the leased premises, or any areas adjoining the premises, the landlord shall inform the police and the activity may be cause for immediate termination of the lease.', 'Illegal activities on the premises will not be tolerated.', 'Any arrest of a tenant, or guests of the tenant or suspicion of any illegal activity, regardless of whether it results in a conviction, may be cause for termination of tenancy.",none
KEYS:,none
"""Keys shall be provided upon payment of the first month's rent and security deposits, and shall be deemed a part of this Agreement."", 'The tenant shall not change, reproduce or add any keys and/or locks without the express prior permission of the property owner.', 'The tenant shall provide the property owner with copies of every key for the premises.",none
"If the tenant shall lose the keys to the apartment, then he shall be responsible for the cost of replacement keys or locksmith charges.",none
LIGHT BULBS:,none
"Before occupancy of the rental property, all light bulbs will be installed and in good working order.', 'Thereafter, tenants are required to provide and change all bulbs within or switch controlled from their premises, no matter where located, at their own expense.",none
OCCUPANCY:,none
"Only occupants listed on the application for tenancy and lease shall occupy the rental property.', 'Any deviation from this requirement will automatically terminate the lease/rental agreement..",none
"Many a penghuni & ahli-ahli keluarga boleh menduduki rumah sewa .', 'Tidak dibenarkan kediaman untuk pekerja-pekerja.",none
Penyewa tidak dibenarkan menyewa bilik kosong kepada orang lain atau sesiapa pun pada bila-bila masa.,none
RETURN OF PROPERTY:,none
"Tenant agrees to return house without damages and in original condition.', ""Property owner reserves the right to periodically inspect tenant's house and if any damage has occurred, tenant agrees to immediately vacate premises and the lease shall be terminated.""",none
"Pemilik rumah berhak untuk secara berkala memeriksa rumah penyewa dan jika apa-apa kerosakan telah berlaku, penyewa bersetuju untuk segera mengosongkan premis dan pajakan itu hendaklah ditamatkan.",none
PLUMBING:,none
"The toilets, washbasins, sink; disposal and other plumbing fixtures shall not be used for any purpose other than those for which they were constructed.', 'No sweeping, rubbish, rags or other substances shall be thrown therein.', 'The cost to repair damages or clean drain lines resulting from the misuse of fixtures in the demised premises shall be borne by the resident.', 'The tenant shall keep the sink, lavatory drains and commode lines in good operating condition.",none
"Jika longkang atau saluran paip tersumbat disebabkan oleh pembuangan lampin, tuala wanita, tampon, mainan kanak-kanak, wads kertas tandas,\nbola rambut, gris, minyak, sisa meja, pakaian, kain, pa sir, tanah, batu, atau kertas dan Iain-lain, Penyewa bertanggungjawap untuk membayar kos pembersihan.",none
REPAIRS:,none
Tenant agrees to notify property owner immediately any necessary repairs or unsafe condition of any kind within the rental property or common areas.,none
SIGNS:,none
"""No sign, advertisement, notice or other lettering shall be exhibited, inscribed, painted, or affixed by tenant or tenant's family, on any part of the outside or inside of the demised premises or the building without prior written consent of the property owner.""",none
"Penyewa tidak dibenarkan mempamer tanda, iklan atau notis pada mana-mana bahagian luar atau dalam bangunan tanpa kebenaran dari pemilik rumah.",none
"Rumah ini khususnya untuk matlamat kediaman penyewa.', 'Penyewa tidak dibenarkan menyimpan barang-barang perniagaan dalam rumah.",none
Please sign your name in the space provided below as an indication that you have reviewed and understand them.,none
Sila tulis dan sign nama anda dalam ruang yang disediakan di bawah sebagai petunjuk bahawa anda telah menyemak dan memahami peraturan-peraturan tersebut.,none
Signature of Landlord/ Repr,none
Signature(s) of Tenant(s),none
I have received a copy of the Tenancy Agreement.,none
"NORAID A BINTIMOHD AZHARI (IC NO.', '820416-01-5972 )",none
Signature of Tenant(s),none
STAMP DUTY KARNATAKA,none
"c$j5Coz3f$ 3oc>rtjs s&o^c^ost ^C7e)©c> &sd: &&.', '2/",none
ds\tafss&de dTOjSczSrt eroaiaieef«^*^x,none
"This sheet can be used for any document _ .', ', ,",none
"rossssSrfrS d,",none
WR E N T A L AGREEMENT”,none
This Rental Agreement is made and Executed on,arg_on
"at Bangalore, by and Between:- wef 1/4/2014",arg_on
Mr .Giddappa S/o lute Nagappa,arg_det
D No.134 2nd cross,none
Shunthi L/o Rumamurthynagar,arg_det
Bangalore 560016,none
Hereinafter Called the "OWNER" of the One Part: Ms Pottumurthi Udayalaxmi W/o Ramakr ishna Kajjam,arg_det
"H No.27-7 Main Bazar,",none
"Miryalaguda, i, Nalgonda Dist A p 503207.",none
Hereinafter called the "TENANT" of the Other Part witnesseth as follows terms and conditions.,none
"1.', 'Whereas the Tenant has paid Advance amount of Rs.40,000/- ( Forty thousand only\t).', '; to the owner.",arg_val
"This amount shall not carry any interest and this is refundable at the time vacating..', 'If any arrears balance that charges will deducted from the advance amount at the time of vacating.",none
has agreed to pay the Rental Charges of thousand three hundred only\t) t<,arg_val
month regularly.,none
the Electrcity charges separately to,none
o,none
"4f This Rental Agreement Duration for only 11(Eleven) months from this date of Agreement.', 'If both the parties mutual understanding it can be extended.",arg_till
The Tenancy can be terminated by either party by giving Two Month notice to the opposite party.,arg_notice
"Whereas the Tenant shall not make any addition?!', 'alteration to the schedule premises and tenant keep the portion clean and good tenantable conditions.",none
Whereas the Tenant shall use the Schedule premises for Residential purpose only and should not use for any illegal or immoral purposes.,none
Whereas the Tenant should pay painting charges at the time vacating the premises.,none
S C H E D u L E",none
"The House premises situated at No.', '184 1st floor 2nd cross",none
"ohanchi h/o, Ruma.murth.yne.gar.', 'Bangalore 560016 consists of 1 BHK.', 'with bathroom & toilet.",none
"In witness whereof the party is hereto have signed this Rental Agreement on the day,month and year first above written in front of the following witnesses.",none
2003,none
"s,«r.s\t66v*trm&tf\'of *&*Hiiti**<i ""30005 0ocn**o»s*<*ot",none
Ajstoziti assrlfc\t<sk^33,none
Registration and Stamps Department,none
"ssstfaS^ cS^sScSe da^jSf&rt erjaaia?', 'This sheet can be used for any doc",none
WR E K T A L A G I< E E M E ft T",none
This Rental Agreement is made and Executed on,arg_on
"at Bangalore, by and Between:- wef 1/4/2015",arg_on
Mr .GiddappA,none
S/o late Na^ippa,none
D No.134 2nd cross Srvinthi L/o RamAmurthynagar Bangalore\t5600 16,none
Hereinafter Called the "OWNER" of the One Part* Ms Pottumurthi Udayaiaxmi W/o Ran** Krishna icajjam,arg_det
"H No .2 7-7 Main Bazar,",none
"Miryalaguda, it Nalgonda Dist A p 503207.",none
Hereinafter called the "TENANT" of the Other Part witnesseth as follows terms and conditions.,none
"1.', 'Whereas the Tenant has paid Advance amount of Rs.', '40,000/- ( Forty thousand only\t).', 'to the owner.",arg_val
"This amount shall not carry any interest and this is refundable at the time vacating..', 'If any arrears balance that charges will deducted from the advance amount at the time of vacating.",none
has agreed to pay the Rental Charges of thousand three hundred only\t) to,none
regularly.,none
the Electrcity charges separately to,none
Contd...2.,none
-2-,none
"This R-mtal Agreement Duration for only 11 (Eleven) months from this date of Agreement.', 'if both the parties mutual understanding it can be extended.",none
The Tenancy can be terminated by either party by giving Two Konth notice to the opposite party.,none
whereas the Tenant shall not rr.aXe any additional alteration to the schedule premises and tenant keep the portion clean and good tenantable conditions.,none
Whereas the Tenant shall use the Schedule premises fox Residential purpose only and should not use for any illegal or immoral purposes.,none
"Whereas the Tenant should pay painting charges at the.', 'time vacating the premises.",none
MS_C H E D U 1 S",none
The House premises situated at No.184 1st floor 2nd cross,none
"Shanthi Vo.', 'RarrH.murthyrvagar, Bangalore 560016 consists of 1 BttC with bathroom U toilet.",none
In witness whereof the party is hereto have signed this Rental Agreement on the day.month end year first above written in front of the following witnesses.,none
RENTAL AGREEMENT,none
"This agreement of rent is made and executed at Bangalore on this 1st day of April,2009(01-04-2009) by and between:-",arg_on
"Mr. Parasu Ram Mishra\nD.no: 15/5/2 KAUSTHUBHA, K.PH.B COLONY\nB.T.M - STAGE 2, WEST MUMBAI -70",arg_det
Hereinafter called the LESSOR/OWNER of the one part; and in favor of>,none
Mr. P.Gangadhar,none
Working at:,none
M.G.H Corporation,none
"Gold Hill Unit 169, Hubli Road",none
Bommanabandi MUMBAI -68,none
Hereinafter called the LESSEE/TENANT of the other part; witnesses as follows:-,none
"Whereas the term lessor and lessee shall mean and include their respective heirs, legal representatives administrators ,and assigns ,etc.",none
And whereas the lessor is the sole and absolute owner of the premises situated at,none
"D.no:15/5/2 KAUSTHUBHA, K.P.H.B COLONY B.T.M - STAGE 2, WEST MUMBAI -70",none
"and where as the lessee has approached with the lessor to let-out the schedule premises on rental basis.', 'And the lessor agrees to let-out the same under the following terms and conditions:-",none
"whereas the lessor agrees to let-out the schedule premises for a monthly rent of 7000/-(Rupees Seven Thousand only) per month, and the lessee shall agrees to pay the same on every month",arg_val
Whereas the lessee shall agrees to pay the monthly rent by on or before 5th of Every English calendar month.,none
Whereas the lessee shall use the schedule premises for residential purpose only and should not use for any illegal or immoral purposes.,none
"The lease will be for period of 1 l(Eleven) months from the date of this Agreement, but it can be extended by mutual consent.', 'The rent shall be enhanced Once in every 11 months @ 5% over the existing rent.",arg_till
Whereas the lessee should not sub-let or underlet the schedule premises to any Other persons without written consent from the lessor.,none
"Whereas the lessee shall keep the schedule premises in good and tenantable Conditions without any damages, if any damages caused by the lessee the mutual Amount can be deducted from his security deposit.",none
"whereas the lessee has paid a sum of Rs.60,000/-(Rupees Sixty thousand Only) towards security deposit by cash",arg_val
"Thus the lessor has received and acknowledges the receipt of the same.', 'This amount shall not carry any interest and the same will be refundable to the lessee at the time of vacating the schedule premises.",none
And whereas the lessee here by agrees to pay the water and electricity charges to the concerned authorities without arrears during this tenancy period.,none
The lease shall vacate the premises on a one month notice from the lessor.similarly the lessee can vacate the premises after giving one month notice to the lessor.,none
And whereas the lessor or his subordinates or agents is at full liberty to inspect the rented premises at any reasonable hours.,none
Whereas the lessee shall agree to pay one month rent towards painting charges at the time of vacating the schedule premises.,none
SCHEDULE,none
"The accommodation consisting of:-two bed rooms one hall one kitchen, one pooja room, one dining hall, two bath and lavatory water and electricity.R.C.C.roofed building first floor with fittings and fixtures:-",none
Fans\t- 4Nos,none
Tubelights\t- 4 Nos,none
IN WITNESS WHEREOF the above named Lessor and Lessee has affixed their respective signatures to this agreement on the day month and year first above written.,none
WITNESSES:-,none
"1.', 'LESSOR/OWNER",none
LESSEE/TENANT,none
INDIA NON JUDICIAL,none
Government of Karnataka,none
e-Stamp,none
IN-KA54376245967338M,none
21-04-2014 10:50,none
NONACC (BK)/ kakscub08/ TUMKUR/ KA-TU SUB IN-KAKAKSCUB0864505677712874M S T NAGAVENI WO H V NARAYANA Article 12 Bond AGREEMENT 0,none
(Zero),none
S T NAGAVENI WO H V NARAYANA H N MADHU S O H V NARAYANA S T NAGAVENI WO H V NARAYANA 200,none
(Two Hundred only),none
Please write or type below this line.,none
Rental Agreement,none
"Rental agreement was executed on Two thousand fourteen April twenty first (21/04/14), Between S T Nagaveni (owner) C/o Narayan H V Resident of Vanasuma nilaya Tumkur District SS puram , 8th Cross ,7th Main and Mr Madhu H N residing at 8th cross 7th main Sspuram Tumkur.",arg_on
NOW THIS TENANCY AGREEMENT WITNESSETH AS FOLLOWS:,none
Purpose of use Rental for flour mill and Dairy products,none
"The TENANT has paid this day a sum of Rs.', '50,000 (Rupees fifty thousand only), being advance, by cash on which is the receipt of the same is herewith acknowledged by the owner.",arg_val
"The Tenant shall pay a monthly rent of Rs 5,000/-(Rupees sixteen thousand only) on or before 5th of every English calendar month.",arg_val
The term of this agreement of rent commenced from <21/04/2014> This agreement will remain in force a period of 05 months.,none
"During the term the Security deposit amount will not carry any interest and this amount fully refundable to TENANT by OWNER while termination of this agreement or rent after deducting arrears of dues of TENANT such as electricity Bill, damages, rent etc., thereon, to which both the parties in due course of the term TENANT shall pay thereon to the concerned authority as and when it falls due.', 'In addition to that TENANT himself incurred normal wear and tear maintenance charges out of his own cost and risk.",none
"10.', 'The TENANT shall pay to the owner an enchanced rent of Rs 5% of monthly rent, for every year over and above the then existing rental at the end of the lease period, if the lease were to be continued by fresh deed for over 12 months.",arg_till
SCHEDULE Details,none
"The premises bearing Tumkur Taluk, Gukur Hobli, Naruganahalli post, Honnenhalli Village Survey Number 10/03 and 10/04/ having 1.13 Acers is used for industries land having 40x30 Shed and watch men room",none
"East: other properties, West: road, North Hanumantha rayyappa Land , South : Chinnama Land owner.",none
WITNESSES,none
OWNER,none
TENANT,none
RENTAL AGREEMENT,none
THE AGREEMENT,none
The landlord agrees to give the tenant:,none
a copy of this agreement at or before the time the agreement is signed and given by the tenant to the landlord or a person on the landlord’s behalf; and,none
"a copy of the agreement signed by both the landlord and the tenant, as soon as reasonably practicable.",none
RENT,none
"Term: the term of this rental agreement shall be for a period of one (1) year, from the execution of this agreement renewable for a like period from mutual agreement and subject to such terms and conditions to be agreed upon by the parties; provided, however, that even before the termination of said ONE (1) year period, either party may be terminated this lease, by giving advance one month notice to the landlord; in the absence of written notice, nor a word of advice from tenant, two successive non- payment of rentals will be a valid cause for termination of this agreement/contract.",arg_notice
"Agreed monthly rental for the use and occupancy of residential unit will be Php 3,500.00 Philippines currency in cash payable on the date of occupancy.', 'Said monthly rental is exclusive of electric bill, water bill and other services, which shall become exclusively by tenant.",arg_val
"Upon the execution of this agreement, the tenant will pay the landlord the sum of Seven Thousand Pesos (Php 7,000.00) which amount is equivalent to one month deposit and one month advance for the leased premises.', 'The deposit is to guarantee secure faithful compliance with the terms and conditions set forth therein, on the part of the tenant, and to be applied in the following manner- all accountabilities will be determined first, like broken fixture, lost ones and others and balance will be applied to rent.",arg_val
"The landlord agrees to provide an acknowledgement receipt for any rent paid to the landlord.', '(The landlord is not required to provide or to make available an acknowledgement receipt if rent is paid into the landlord’s account.)",none
USE OF THE PREMISES,none
The tenant agrees:,none
"not to use the residential premises, or cause or permit the premises to be used, for any illegal purpose; and",none
not to cause or permit a nuisance; and,none
"not to interfere, or cause or permit interference, with the reasonable peace, comfort or privacy of neighbors.",none
LANDLORD’S ACCESS TO THE PREMISES,none
"The landlord, the landlord’s agent or any person authorized in writing by the",none
"landlord, during the currency of this agreement, may only enter the rented",none
premises in the following circumstances:,none
in an emergency (including entry for the purpose of carrying out urgent repairs); or,none
"to inspect the premises, if the tenant gets 1 day notice",arg_notice
"to carry out necessary repairs, if the tenant gets 2 days notice on each occasion.",none
"CLEANLINESS, REPAIRS AND DAMAGE TO THE PREMISES",none
The landlord agrees:,none
to make sure the residential premises are reasonably clean and fit to live in; and,none
"to keep the premises in reasonable repair, considering the age of, the amount of rent paid for and the prospective life of the premises.",none
The tenant agrees:,none
to keep the residential premises reasonably clean; and,none
to notify the landlord as soon as practicable of any damage to the premises; and,none
not to intentionally or negligently cause or permit any damaged to the premises.,none
